Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,511,Total Population - Both sexes,2501,Population,2013,2013,1000 persons,742186.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5511,Production,2511,Wheat and products,2013,2013,1000 tonnes,226089.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2511,Wheat and products,2013,2013,1000 tonnes,45338.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2511,Wheat and products,2013,2013,1000 tonnes,-4775.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2511,Wheat and products,2013,2013,1000 tonnes,91363.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2511,Wheat and products,2013,2013,1000 tonnes,175289.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2511,Wheat and products,2013,2013,1000 tonnes,61364.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2511,Wheat and products,2013,2013,1000 tonnes,13788.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2511,Wheat and products,2013,2013,1000 tonnes,4608.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2511,Wheat and products,2013,2013,1000 tonnes,6266.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2511,Wheat and products,2013,2013,1000 tonnes,8387.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2511,Wheat and products,2013,2013,1000 tonnes,80875.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2013,2013,kg,108.97,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2511,Wheat and products,2013,2013,kcal/capita/day,827.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,25.71,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,3.47,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2690.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,3762.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,68.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2417.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,4104.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,374.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,97.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
