Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code_YoY_Change,Element Code_YoY_Change,Item Code_YoY_Change,Year Code_YoY_Change,Value_YoY_Change
FBS,Food Balance Sheets,5400,Europe,511,Total Population - Both sexes,2501,Population,2013,2013,1000 persons,742186.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5511,Production,2511,Wheat and products,2013,2013,1000 tonnes,226089.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2511,Wheat and products,2013,2013,1000 tonnes,45338.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.01814552712756301,0.0,0.0,-0.7994683509591356
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2511,Wheat and products,2013,2013,1000 tonnes,-4775.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.0960613081447157,0.0,0.0,-1.1053200405840575
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2511,Wheat and products,2013,2013,1000 tonnes,91363.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.16541798107255512,0.0,0.0,-20.133612565445027
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2511,Wheat and products,2013,2013,1000 tonnes,175289.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.10319742852309255,0.0,0.0,0.9185994330308769
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2511,Wheat and products,2013,2013,1000 tonnes,61364.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.04150160347104315,0.0,0.0,-0.6499266924906868
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2511,Wheat and products,2013,2013,1000 tonnes,13788.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0010867596449919414,0.0,0.0,-0.7753079981748257
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2511,Wheat and products,2013,2013,1000 tonnes,4608.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.07309571195947173,0.0,0.0,-0.6657963446475196
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2511,Wheat and products,2013,2013,1000 tonnes,6266.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0015615850087840055,0.0,0.0,0.3598090277777777
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2511,Wheat and products,2013,2013,1000 tonnes,8387.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.00448255700643152,0.0,0.0,0.33849345675071807
FBS,Food Balance Sheets,5400,Europe,5142,Food,2511,Wheat and products,2013,2013,1000 tonnes,80875.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.002328288707799775,0.0,0.0,8.642899725766066
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2013,2013,kg,108.97,Fc,Calculated data,0.0,-0.8745624270711785,0.0,0.0,-0.9986526120556414
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2511,Wheat and products,2013,2013,kcal/capita/day,827.0,Fc,Calculated data,0.0,0.029457364341085368,0.0,0.0,6.589244746260439
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,25.71,Fc,Calculated data,0.0,0.015060240963855387,0.0,0.0,-0.9689117291414752
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,3.47,Fc,Calculated data,0.0,0.014836795252225476,0.0,0.0,-0.8650330610657332
FBS,Food Balance Sheets,5400,Europe,5511,Production,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2690.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
